CAH level marker,CAH level subject,Level of study,Academic Year,Sex,Number
CAH level 3,15-01-02 Sociology,All,2022/23,Total,8470
CAH level 3,15-01-03 Social policy,First degree,2022/23,Female,385
CAH level 3,15-01-03 Social policy,First degree,2022/23,Male,110
CAH level 3,15-01-03 Social policy,First degree,2022/23,Unknown,0
CAH level 3,15-01-03 Social policy,First degree,2022/23,Total,495
CAH level 3,15-01-03 Social policy,All,2022/23,Female,385
CAH level 3,15-01-03 Social policy,All,2022/23,Male,110
CAH level 3,15-01-03 Social policy,All,2022/23,Unknown,0
CAH level 3,15-01-03 Social policy,All,2022/23,Total,495
CAH level 3,15-01-04 Anthropology,First degree,2022/23,Female,205
CAH level 3,15-01-04 Anthropology,First degree,2022/23,Male,65
CAH level 3,15-01-04 Anthropology,First degree,2022/23,Unknown,0
CAH level 3,15-01-04 Anthropology,First degree,2022/23,Total,275
CAH level 3,15-01-04 Anthropology,All,2022/23,Female,205
CAH level 3,15-01-04 Anthropology,All,2022/23,Male,65
CAH level 3,15-01-04 Anthropology,All,2022/23,Unknown,0
CAH level 3,15-01-04 Anthropology,All,2022/23,Total,275
CAH level 3,15-01-05 Development studies,First degree,2022/23,Female,175
CAH level 3,15-01-05 Development studies,First degree,2022/23,Male,90
CAH level 3,15-01-05 Development studies,First degree,2022/23,Unknown,0
CAH level 3,15-01-05 Development studies,First degree,2022/23,Total,265
CAH level 3,15-01-05 Development studies,All,2022/23,Female,175
CAH level 3,15-01-05 Development studies,All,2022/23,Male,90
CAH level 3,15-01-05 Development studies,All,2022/23,Unknown,0
CAH level 3,15-01-05 Development studies,All,2022/23,Total,265
CAH level 3,15-01-06 Cultural studies,First degree,2022/23,Female,10
CAH level 3,15-01-06 Cultural studies,First degree,2022/23,Male,5
CAH level 3,15-01-06 Cultural studies,First degree,2022/23,Unknown,0
CAH level 3,15-01-06 Cultural studies,First degree,2022/23,Total,15
CAH level 3,15-01-06 Cultural studies,All,2022/23,Female,10
CAH level 3,15-01-06 Cultural studies,All,2022/23,Male,5
CAH level 3,15-01-06 Cultural studies,All,2022/23,Unknown,0
CAH level 3,15-01-06 Cultural studies,All,2022/23,Total,15
CAH level 3,15-02-01 Economics,First degree,2022/23,Female,3000
CAH level 3,15-02-01 Economics,First degree,2022/23,Male,7760
CAH level 3,15-02-01 Economics,First degree,2022/23,Unknown,45
CAH level 3,15-02-01 Economics,First degree,2022/23,Total,10805
CAH level 3,15-02-01 Economics,Other undergraduate,2022/23,Female,0
CAH level 3,15-02-01 Economics,Other undergraduate,2022/23,Male,0
CAH level 3,15-02-01 Economics,Other undergraduate,2022/23,Unknown,0
CAH level 3,15-02-01 Economics,Other undergraduate,2022/23,Total,0
CAH level 3,15-02-01 Economics,All,2022/23,Female,3000
CAH level 3,15-02-01 Economics,All,2022/23,Male,7760
CAH level 3,15-02-01 Economics,All,2022/23,Unknown,45
CAH level 3,15-02-01 Economics,All,2022/23,Total,10805
CAH level 3,15-03-01 Politics,First degree,2022/23,Female,2700
CAH level 3,15-03-01 Politics,First degree,2022/23,Male,2720
CAH level 3,15-03-01 Politics,First degree,2022/23,Unknown,40
CAH level 3,15-03-01 Politics,First degree,2022/23,Total,5455
CAH level 3,15-03-01 Politics,All,2022/23,Female,2700
CAH level 3,15-03-01 Politics,All,2022/23,Male,2720
CAH level 3,15-03-01 Politics,All,2022/23,Unknown,40
CAH level 3,15-03-01 Politics,All,2022/23,Total,5455
CAH level 3,15-04-01 Social work,First degree,2022/23,Female,165
CAH level 3,15-04-01 Social work,First degree,2022/23,Male,10
CAH level 3,15-04-01 Social work,First degree,2022/23,Unknown,0
CAH level 3,15-04-01 Social work,First degree,2022/23,Total,175
CAH level 3,15-04-01 Social work,All,2022/23,Female,165
CAH level 3,15-04-01 Social work,All,2022/23,Male,10
CAH level 3,15-04-01 Social work,All,2022/23,Unknown,0
CAH level 3,15-04-01 Social work,All,2022/23,Total,175
CAH level 3,15-04-02 Childhood and youth studies,First degree,2022/23,Female,875
CAH level 3,15-04-02 Childhood and youth studies,First degree,2022/23,Male,40
CAH level 3,15-04-02 Childhood and youth studies,First degree,2022/23,Unknown,0
CAH level 3,15-04-02 Childhood and youth studies,First degree,2022/23,Total,915
CAH level 3,15-04-02 Childhood and youth studies,All,2022/23,Female,875
CAH level 3,15-04-02 Childhood and youth studies,All,2022/23,Male,40
CAH level 3,15-04-02 Childhood and youth studies,All,2022/23,Unknown,0
CAH level 3,15-04-02 Childhood and youth studies,All,2022/23,Total,915
CAH level 3,15-04-03 Health studies,First degree,2022/23,Female,340
CAH level 3,15-04-03 Health studies,First degree,2022/23,Male,50
CAH level 3,15-04-03 Health studies,First degree,2022/23,Unknown,0
CAH level 3,15-04-03 Health studies,First degree,2022/23,Total,385
CAH level 3,15-04-03 Health studies,Other undergraduate,2022/23,Female,5
CAH level 3,15-04-03 Health studies,Other undergraduate,2022/23,Male,0
CAH level 3,15-04-03 Health studies,Other undergraduate,2022/23,Unknown,0
CAH level 3,15-04-03 Health studies,Other undergraduate,2022/23,Total,10
CAH level 3,15-04-03 Health studies,All,2022/23,Female,345
CAH level 3,15-04-03 Health studies,All,2022/23,Male,50
CAH level 3,15-04-03 Health studies,All,2022/23,Unknown,0
CAH level 3,15-04-03 Health studies,All,2022/23,Total,395
CAH level 3,16-01-01 Law,First degree,2022/23,Female,9040
CAH level 3,16-01-01 Law,First degree,2022/23,Male,4360
CAH level 3,16-01-01 Law,First degree,2022/23,Unknown,90
CAH level 3,16-01-01 Law,First degree,2022/23,Total,13490
CAH level 3,16-01-01 Law,All,2022/23,Female,9040
CAH level 3,16-01-01 Law,All,2022/23,Male,4360
CAH level 3,16-01-01 Law,All,2022/23,Unknown,90
CAH level 3,16-01-01 Law,All,2022/23,Total,13490
CAH level 3,17-01-01 Business and management (non-specific),First degree,2022/23,Female,6135
CAH level 3,17-01-01 Business and management (non-specific),First degree,2022/23,Male,8895
CAH level 3,17-01-01 Business and management (non-specific),First degree,2022/23,Unknown,195
CAH level 3,17-01-01 Business and management (non-specific),First degree,2022/23,Total,15225
CAH level 3,17-01-01 Business and management (non-specific),Other undergraduate,2022/23,Female,95
CAH level 3,17-01-01 Business and management (non-specific),Other undergraduate,2022/23,Male,70
CAH level 3,17-01-01 Business and management (non-specific),Other undergraduate,2022/23,Unknown,0
CAH level 3,17-01-01 Business and management (non-specific),Other undergraduate,2022/23,Total,160
CAH level 3,17-01-01 Business and management (non-specific),All,2022/23,Female,6225
CAH level 3,17-01-01 Business and management (non-specific),All,2022/23,Male,8965
CAH level 3,17-01-01 Business and management (non-specific),All,2022/23,Unknown,195
CAH level 3,17-01-01 Business and management (non-specific),All,2022/23,Total,15385
CAH level 3,17-01-02 Business studies,First degree,2022/23,Female,8185
CAH level 3,17-01-02 Business studies,First degree,2022/23,Male,12690
CAH level 3,17-01-02 Business studies,First degree,2022/23,Unknown,60
CAH level 3,17-01-02 Business studies,First degree,2022/23,Total,20935
CAH level 3,17-01-02 Business studies,Other undergraduate,2022/23,Female,320
CAH level 3,17-01-02 Business studies,Other undergraduate,2022/23,Male,315
CAH level 3,17-01-02 Business studies,Other undergraduate,2022/23,Unknown,0
CAH level 3,17-01-02 Business studies,Other undergraduate,2022/23,Total,630
CAH level 3,17-01-02 Business studies,All,2022/23,Female,8500
CAH level 3,17-01-02 Business studies,All,2022/23,Male,13005
CAH level 3,17-01-02 Business studies,All,2022/23,Unknown,60
CAH level 3,17-01-02 Business studies,All,2022/23,Total,21565
CAH level 3,17-01-03 Marketing,First degree,2022/23,Female,5935
CAH level 3,17-01-03 Marketing,First degree,2022/23,Male,4200
CAH level 3,17-01-03 Marketing,First degree,2022/23,Unknown,45
CAH level 3,17-01-03 Marketing,First degree,2022/23,Total,10180
CAH level 3,17-01-03 Marketing,Other undergraduate,2022/23,Female,0
CAH level 3,17-01-03 Marketing,Other undergraduate,2022/23,Male,0
CAH level 3,17-01-03 Marketing,Other undergraduate,2022/23,Unknown,0
CAH level 3,17-01-03 Marketing,Other undergraduate,2022/23,Total,0
CAH level 3,17-01-03 Marketing,All,2022/23,Female,5935
CAH level 3,17-01-03 Marketing,All,2022/23,Male,4200
CAH level 3,17-01-03 Marketing,All,2022/23,Unknown,45
CAH level 3,17-01-03 Marketing,All,2022/23,Total,10185
CAH level 3,17-01-04 Management studies,First degree,2022/23,Female,4655
CAH level 3,17-01-04 Management studies,First degree,2022/23,Male,5985
CAH level 3,17-01-04 Management studies,First degree,2022/23,Unknown,45
CAH level 3,17-01-04 Management studies,First degree,2022/23,Total,10685
CAH level 3,17-01-04 Management studies,All,2022/23,Female,4655
CAH level 3,17-01-04 Management studies,All,2022/23,Male,5985
CAH level 3,17-01-04 Management studies,All,2022/23,Unknown,45
CAH level 3,17-01-04 Management studies,All,2022/23,Total,10685
CAH level 3,17-01-05 Human resource management,First degree,2022/23,Female,960
CAH level 3,17-01-05 Human resource management,First degree,2022/23,Male,400
CAH level 3,17-01-05 Human resource management,First degree,2022/23,Unknown,15
CAH level 3,17-01-05 Human resource management,First degree,2022/23,Total,1375
CAH level 3,17-01-05 Human resource management,All,2022/23,Female,960
CAH level 3,17-01-05 Human resource management,All,2022/23,Male,400
CAH level 3,17-01-05 Human resource management,All,2022/23,Unknown,15
CAH level 3,17-01-05 Human resource management,All,2022/23,Total,1375
CAH level 3,"17-01-06 Tourism, transport and travel",First degree,2022/23,Female,3645
CAH level 3,"17-01-06 Tourism, transport and travel",First degree,2022/23,Male,2915
CAH level 3,"17-01-06 Tourism, transport and travel",First degree,2022/23,Unknown,10
CAH level 3,"17-01-06 Tourism, transport and travel",First degree,2022/23,Total,6575
CAH level 3,"17-01-06 Tourism, transport and travel",Other undergraduate,2022/23,Female,45
CAH level 3,"17-01-06 Tourism, transport and travel",Other undergraduate,2022/23,Male,15
CAH level 3,"17-01-06 Tourism, transport and travel",Other undergraduate,2022/23,Unknown,0
CAH level 3,"17-01-06 Tourism, transport and travel",Other undergraduate,2022/23,Total,60
CAH level 3,"17-01-06 Tourism, transport and travel",All,2022/23,Female,3695
CAH level 3,"17-01-06 Tourism, transport and travel",All,2022/23,Male,2930
CAH level 3,"17-01-06 Tourism, transport and travel",All,2022/23,Unknown,10
CAH level 3,"17-01-06 Tourism, transport and travel",All,2022/23,Total,6635
CAH level 3,17-01-07 Finance,First degree,2022/23,Female,2950
CAH level 3,17-01-07 Finance,First degree,2022/23,Male,6065
CAH level 3,17-01-07 Finance,First degree,2022/23,Unknown,30
CAH level 3,17-01-07 Finance,First degree,2022/23,Total,9050
CAH level 3,17-01-07 Finance,Other undergraduate,2022/23,Female,0
CAH level 3,17-01-07 Finance,Other undergraduate,2022/23,Male,0
CAH level 3,17-01-07 Finance,Other undergraduate,2022/23,Unknown,0
CAH level 3,17-01-07 Finance,Other undergraduate,2022/23,Total,0
CAH level 3,17-01-07 Finance,All,2022/23,Female,2950
CAH level 3,17-01-07 Finance,All,2022/23,Male,6070
CAH level 3,17-01-07 Finance,All,2022/23,Unknown,30
CAH level 3,17-01-07 Finance,All,2022/23,Total,9050
CAH level 3,17-01-08 Accounting,First degree,2022/23,Female,4400
CAH level 3,17-01-08 Accounting,First degree,2022/23,Male,7680
CAH level 3,17-01-08 Accounting,First degree,2022/23,Unknown,50
CAH level 3,17-01-08 Accounting,First degree,2022/23,Total,12125
CAH level 3,17-01-08 Accounting,Other undergraduate,2022/23,Female,0
CAH level 3,17-01-08 Accounting,Other undergraduate,2022/23,Male,0
CAH level 3,17-01-08 Accounting,Other undergraduate,2022/23,Unknown,0
CAH level 3,17-01-08 Accounting,Other undergraduate,2022/23,Total,0
CAH level 3,17-01-08 Accounting,All,2022/23,Female,4400
CAH level 3,17-01-08 Accounting,All,2022/23,Male,7680
CAH level 3,17-01-08 Accounting,All,2022/23,Unknown,50
CAH level 3,17-01-08 Accounting,All,2022/23,Total,12125
CAH level 3,17-01-09 Others in business and management,First degree,2022/23,Female,0
CAH level 3,17-01-09 Others in business and management,First degree,2022/23,Male,10
CAH level 3,17-01-09 Others in business and management,First degree,2022/23,Unknown,0
CAH level 3,17-01-09 Others in business and management,First degree,2022/23,Total,10
CAH level 3,17-01-09 Others in business and management,All,2022/23,Female,0
CAH level 3,17-01-09 Others in business and management,All,2022/23,Male,10
CAH level 3,17-01-09 Others in business and management,All,2022/23,Unknown,0
CAH level 3,17-01-09 Others in business and management,All,2022/23,Total,10
CAH level 3,19-01-01 English studies (non-specific),First degree,2022/23,Female,550
CAH level 3,19-01-01 English studies (non-specific),First degree,2022/23,Male,135
CAH level 3,19-01-01 English studies (non-specific),First degree,2022/23,Unknown,10
CAH level 3,19-01-01 English studies (non-specific),First degree,2022/23,Total,695
CAH level 3,19-01-01 English studies (non-specific),Other undergraduate,2022/23,Female,0
CAH level 3,19-01-01 English studies (non-specific),Other undergraduate,2022/23,Male,0
CAH level 3,19-01-01 English studies (non-specific),Other undergraduate,2022/23,Unknown,0
CAH level 3,19-01-01 English studies (non-specific),Other undergraduate,2022/23,Total,0
CAH level 3,19-01-01 English studies (non-specific),All,2022/23,Female,550
CAH level 3,19-01-01 English studies (non-specific),All,2022/23,Male,135
CAH level 3,19-01-01 English studies (non-specific),All,2022/23,Unknown,10
CAH level 3,19-01-01 English studies (non-specific),All,2022/23,Total,695
CAH level 3,19-01-02 English language,First degree,2022/23,Female,360
CAH level 3,19-01-02 English language,First degree,2022/23,Male,90
CAH level 3,19-01-02 English language,First degree,2022/23,Unknown,5
CAH level 3,19-01-02 English language,First degree,2022/23,Total,460
CAH level 3,19-01-02 English language,All,2022/23,Female,360
CAH level 3,19-01-02 English language,All,2022/23,Male,90
CAH level 3,19-01-02 English language,All,2022/23,Unknown,5
CAH level 3,19-01-02 English language,All,2022/23,Total,460
CAH level 3,19-01-03 Literature in English,First degree,2022/23,Female,1110
CAH level 3,19-01-03 Literature in English,First degree,2022/23,Male,240
CAH level 3,19-01-03 Literature in English,First degree,2022/23,Unknown,5
CAH level 3,19-01-03 Literature in English,First degree,2022/23,Total,1355
CAH level 3,19-01-03 Literature in English,All,2022/23,Female,1110
CAH level 3,19-01-03 Literature in English,All,2022/23,Male,240
CAH level 3,19-01-03 Literature in English,All,2022/23,Unknown,5
CAH level 3,19-01-03 Literature in English,All,2022/23,Total,1355
CAH level 3,19-01-05 Creative writing,First degree,2022/23,Female,535
CAH level 3,19-01-05 Creative writing,First degree,2022/23,Male,255
CAH level 3,19-01-05 Creative writing,First degree,2022/23,Unknown,10
CAH level 3,19-01-05 Creative writing,First degree,2022/23,Total,805
CAH level 3,19-01-05 Creative writing,All,2022/23,Female,535
CAH level 3,19-01-05 Creative writing,All,2022/23,Male,255
CAH level 3,19-01-05 Creative writing,All,2022/23,Unknown,10
CAH level 3,19-01-05 Creative writing,All,2022/23,Total,805
CAH level 3,19-01-06 Others in English studies,First degree,2022/23,Female,0
CAH level 3,19-01-06 Others in English studies,First degree,2022/23,Male,0
CAH level 3,19-01-06 Others in English studies,First degree,2022/23,Unknown,0
CAH level 3,19-01-06 Others in English studies,First degree,2022/23,Total,0
CAH level 3,19-01-06 Others in English studies,All,2022/23,Female,0
CAH level 3,19-01-06 Others in English studies,All,2022/23,Male,0
CAH level 3,19-01-06 Others in English studies,All,2022/23,Unknown,0
CAH level 3,19-01-06 Others in English studies,All,2022/23,Total,0
CAH level 3,19-01-07 Linguistics,First degree,2022/23,Female,330
CAH level 3,19-01-07 Linguistics,First degree,2022/23,Male,110
CAH level 3,19-01-07 Linguistics,First degree,2022/23,Unknown,10
CAH level 3,19-01-07 Linguistics,First degree,2022/23,Total,450
CAH level 3,19-01-07 Linguistics,All,2022/23,Female,330
CAH level 3,19-01-07 Linguistics,All,2022/23,Male,110
CAH level 3,19-01-07 Linguistics,All,2022/23,Unknown,10
CAH level 3,19-01-07 Linguistics,All,2022/23,Total,450
CAH level 3,19-02-03 Welsh studies,First degree,2022/23,Female,25
CAH level 3,19-02-03 Welsh studies,First degree,2022/23,Male,10
CAH level 3,19-02-03 Welsh studies,First degree,2022/23,Unknown,0
CAH level 3,19-02-03 Welsh studies,First degree,2022/23,Total,35
CAH level 3,19-02-03 Welsh studies,All,2022/23,Female,25
CAH level 3,19-02-03 Welsh studies,All,2022/23,Male,10
CAH level 3,19-02-03 Welsh studies,All,2022/23,Unknown,0
CAH level 3,19-02-03 Welsh studies,All,2022/23,Total,35
CAH level 3,19-02-04 Others in Celtic studies,First degree,2022/23,Female,0
CAH level 3,19-02-04 Others in Celtic studies,First degree,2022/23,Male,0
CAH level 3,19-02-04 Others in Celtic studies,First degree,2022/23,Unknown,0
CAH level 3,19-02-04 Others in Celtic studies,First degree,2022/23,Total,5
CAH level 3,19-02-04 Others in Celtic studies,All,2022/23,Female,0
CAH level 3,19-02-04 Others in Celtic studies,All,2022/23,Male,0
CAH level 3,19-02-04 Others in Celtic studies,All,2022/23,Unknown,0
CAH level 3,19-02-04 Others in Celtic studies,All,2022/23,Total,5
CAH level 3,19-04-01 French studies,First degree,2022/23,Female,955
CAH level 3,19-04-01 French studies,First degree,2022/23,Male,370
CAH level 3,19-04-01 French studies,First degree,2022/23,Unknown,5
CAH level 3,19-04-01 French studies,First degree,2022/23,Total,1330
CAH level 3,19-04-01 French studies,All,2022/23,Female,955
CAH level 3,19-04-01 French studies,All,2022/23,Male,370
CAH level 3,19-04-01 French studies,All,2022/23,Unknown,5
CAH level 3,19-04-01 French studies,All,2022/23,Total,1330
CAH level 3,19-04-02 German and Scandinavian studies,First degree,2022/23,Female,295
CAH level 3,19-04-02 German and Scandinavian studies,First degree,2022/23,Male,160
CAH level 3,19-04-02 German and Scandinavian studies,First degree,2022/23,Unknown,5
CAH level 3,19-04-02 German and Scandinavian studies,First degree,2022/23,Total,455
CAH level 3,19-04-02 German and Scandinavian studies,All,2022/23,Female,295
CAH level 3,19-04-02 German and Scandinavian studies,All,2022/23,Male,160
CAH level 3,19-04-02 German and Scandinavian studies,All,2022/23,Unknown,5
CAH level 3,19-04-02 German and Scandinavian studies,All,2022/23,Total,455
CAH level 3,19-04-03 Italian studies,First degree,2022/23,Female,150
CAH level 3,19-04-03 Italian studies,First degree,2022/23,Male,50
CAH level 3,19-04-03 Italian studies,First degree,2022/23,Unknown,0
CAH level 3,19-04-03 Italian studies,First degree,2022/23,Total,200
CAH level 3,19-04-03 Italian studies,All,2022/23,Female,150
CAH level 3,19-04-03 Italian studies,All,2022/23,Male,50
CAH level 3,19-04-03 Italian studies,All,2022/23,Unknown,0
CAH level 3,19-04-03 Italian studies,All,2022/23,Total,200
CAH level 3,19-04-04 Iberian studies,First degree,2022/23,Female,1155
CAH level 3,19-04-04 Iberian studies,First degree,2022/23,Male,490
CAH level 3,19-04-04 Iberian studies,First degree,2022/23,Unknown,5
CAH level 3,19-04-04 Iberian studies,First degree,2022/23,Total,1650
CAH level 3,19-04-04 Iberian studies,All,2022/23,Female,1155
CAH level 3,19-04-04 Iberian studies,All,2022/23,Male,490
CAH level 3,19-04-04 Iberian studies,All,2022/23,Unknown,5
CAH level 3,19-04-04 Iberian studies,All,2022/23,Total,1650
CAH level 3,19-04-05 Slavic studies,First degree,2022/23,Female,40
CAH level 3,19-04-05 Slavic studies,First degree,2022/23,Male,30
CAH level 3,19-04-05 Slavic studies,First degree,2022/23,Unknown,0
CAH level 3,19-04-05 Slavic studies,First degree,2022/23,Total,70
CAH level 3,19-04-05 Slavic studies,All,2022/23,Female,40
CAH level 3,19-04-05 Slavic studies,All,2022/23,Male,30
CAH level 3,19-04-05 Slavic studies,All,2022/23,Unknown,0
CAH level 3,19-04-05 Slavic studies,All,2022/23,Total,70
CAH level 3,19-04-06 Asian studies,First degree,2022/23,Female,365
CAH level 3,19-04-06 Asian studies,First degree,2022/23,Male,250
CAH level 3,19-04-06 Asian studies,First degree,2022/23,Unknown,10
CAH level 3,19-04-06 Asian studies,First degree,2022/23,Total,620
CAH level 3,19-04-06 Asian studies,All,2022/23,Female,365
CAH level 3,19-04-06 Asian studies,All,2022/23,Male,250
CAH level 3,19-04-06 Asian studies,All,2022/23,Unknown,10
CAH level 3,19-04-06 Asian studies,All,2022/23,Total,620
CAH level 3,19-04-07 African and modern Middle Eastern studies,First degree,2022/23,Female,95
CAH level 3,19-04-07 African and modern Middle Eastern studies,First degree,2022/23,Male,65
CAH level 3,19-04-07 African and modern Middle Eastern studies,First degree,2022/23,Unknown,5
CAH level 3,19-04-07 African and modern Middle Eastern studies,First degree,2022/23,Total,160
CAH level 3,19-04-07 African and modern Middle Eastern studies,All,2022/23,Female,95
CAH level 3,19-04-07 African and modern Middle Eastern studies,All,2022/23,Male,65
CAH level 3,19-04-07 African and modern Middle Eastern studies,All,2022/23,Unknown,5
CAH level 3,19-04-07 African and modern Middle Eastern studies,All,2022/23,Total,160
CAH level 3,19-04-08 American and Australasian studies,First degree,2022/23,Female,130
CAH level 3,19-04-08 American and Australasian studies,First degree,2022/23,Male,80
CAH level 3,19-04-08 American and Australasian studies,First degree,2022/23,Unknown,0
CAH level 3,19-04-08 American and Australasian studies,First degree,2022/23,Total,210
CAH level 3,19-04-08 American and Australasian studies,All,2022/23,Female,130
CAH level 3,19-04-08 American and Australasian studies,All,2022/23,Male,80
CAH level 3,19-04-08 American and Australasian studies,All,2022/23,Unknown,0
CAH level 3,19-04-08 American and Australasian studies,All,2022/23,Total,210
CAH level 3,19-04-09 Others in language and area studies,First degree,2022/23,Female,1820
CAH level 3,19-04-09 Others in language and area studies,First degree,2022/23,Male,810
CAH level 3,19-04-09 Others in language and area studies,First degree,2022/23,Unknown,5
CAH level 3,19-04-09 Others in language and area studies,First degree,2022/23,Total,2635
CAH level 3,19-04-09 Others in language and area studies,All,2022/23,Female,1820
CAH level 3,19-04-09 Others in language and area studies,All,2022/23,Male,810
CAH level 3,19-04-09 Others in language and area studies,All,2022/23,Unknown,5
CAH level 3,19-04-09 Others in language and area studies,All,2022/23,Total,2635
CAH level 3,20-01-01 History,First degree,2022/23,Female,1745
CAH level 3,20-01-01 History,First degree,2022/23,Male,1815
CAH level 3,20-01-01 History,First degree,2022/23,Unknown,30
CAH level 3,20-01-01 History,First degree,2022/23,Total,3590
CAH level 3,20-01-01 History,All,2022/23,Female,1745
CAH level 3,20-01-01 History,All,2022/23,Male,1815
CAH level 3,20-01-01 History,All,2022/23,Unknown,30
CAH level 3,20-01-01 History,All,2022/23,Total,3590
CAH level 3,"20-01-02 History of art, architecture and design",First degree,2022/23,Female,180
CAH level 3,"20-01-02 History of art, architecture and design",First degree,2022/23,Male,20
CAH level 3,"20-01-02 History of art, architecture and design",First degree,2022/23,Unknown,0
CAH level 3,"20-01-02 History of art, architecture and design",First degree,2022/23,Total,195
CAH level 3,"20-01-02 History of art, architecture and design",All,2022/23,Female,180
CAH level 3,"20-01-02 History of art, architecture and design",All,2022/23,Male,20
CAH level 3,"20-01-02 History of art, architecture and design",All,2022/23,Unknown,0
CAH level 3,"20-01-02 History of art, architecture and design",All,2022/23,Total,195
CAH level 3,20-01-03 Archaeology,First degree,2022/23,Female,125
CAH level 3,20-01-03 Archaeology,First degree,2022/23,Male,65
CAH level 3,20-01-03 Archaeology,First degree,2022/23,Unknown,5
CAH level 3,20-01-03 Archaeology,First degree,2022/23,Total,190
CAH level 3,20-01-03 Archaeology,All,2022/23,Female,125
CAH level 3,20-01-03 Archaeology,All,2022/23,Male,65
CAH level 3,20-01-03 Archaeology,All,2022/23,Unknown,5
CAH level 3,20-01-03 Archaeology,All,2022/23,Total,190
CAH level 3,20-01-04 Heritage studies,First degree,2022/23,Female,5
CAH level 3,20-01-04 Heritage studies,First degree,2022/23,Male,5
CAH level 3,20-01-04 Heritage studies,First degree,2022/23,Unknown,0
CAH level 3,20-01-04 Heritage studies,First degree,2022/23,Total,10
CAH level 3,20-01-04 Heritage studies,All,2022/23,Female,5
CAH level 3,20-01-04 Heritage studies,All,2022/23,Male,5
CAH level 3,20-01-04 Heritage studies,All,2022/23,Unknown,0
CAH level 3,20-01-04 Heritage studies,All,2022/23,Total,10
CAH level 3,20-01-05 Classics,First degree,2022/23,Female,100
CAH level 3,20-01-05 Classics,First degree,2022/23,Male,70
CAH level 3,20-01-05 Classics,First degree,2022/23,Unknown,0
CAH level 3,20-01-05 Classics,First degree,2022/23,Total,175
CAH level 3,20-01-05 Classics,All,2022/23,Female,100
CAH level 3,20-01-05 Classics,All,2022/23,Male,70
CAH level 3,20-01-05 Classics,All,2022/23,Unknown,0
CAH level 3,20-01-05 Classics,All,2022/23,Total,175
CAH level 3,20-02-01 Philosophy,First degree,2022/23,Female,375
CAH level 3,20-02-01 Philosophy,First degree,2022/23,Male,400
CAH level 3,20-02-01 Philosophy,First degree,2022/23,Unknown,10
CAH level 3,20-02-01 Philosophy,First degree,2022/23,Total,785
CAH level 3,20-02-01 Philosophy,All,2022/23,Female,375
CAH level 3,20-02-01 Philosophy,All,2022/23,Male,400
CAH level 3,20-02-01 Philosophy,All,2022/23,Unknown,10
CAH level 3,20-02-01 Philosophy,All,2022/23,Total,785
CAH level 3,20-02-02 Theology and religious studies,First degree,2022/23,Female,75
CAH level 3,20-02-02 Theology and religious studies,First degree,2022/23,Male,55
CAH level 3,20-02-02 Theology and religious studies,First degree,2022/23,Unknown,0
CAH level 3,20-02-02 Theology and religious studies,First degree,2022/23,Total,125
CAH level 3,20-02-02 Theology and religious studies,Other undergraduate,2022/23,Female,0
CAH level 3,20-02-02 Theology and religious studies,Other undergraduate,2022/23,Male,0
CAH level 3,20-02-02 Theology and religious studies,Other undergraduate,2022/23,Unknown,0
CAH level 3,20-02-02 Theology and religious studies,Other undergraduate,2022/23,Total,5
CAH level 3,20-02-02 Theology and religious studies,All,2022/23,Female,75
CAH level 3,20-02-02 Theology and religious studies,All,2022/23,Male,55
CAH level 3,20-02-02 Theology and religious studies,All,2022/23,Unknown,0
CAH level 3,20-02-02 Theology and religious studies,All,2022/23,Total,130
CAH level 3,22-01-01 Education,First degree,2022/23,Female,1100
CAH level 3,22-01-01 Education,First degree,2022/23,Male,130
CAH level 3,22-01-01 Education,First degree,2022/23,Unknown,5
CAH level 3,22-01-01 Education,First degree,2022/23,Total,1235
CAH level 3,22-01-01 Education,Other undergraduate,2022/23,Female,0
CAH level 3,22-01-01 Education,Other undergraduate,2022/23,Male,0
CAH level 3,22-01-01 Education,Other undergraduate,2022/23,Unknown,0
CAH level 3,22-01-01 Education,Other undergraduate,2022/23,Total,0
CAH level 3,22-01-01 Education,All,2022/23,Female,1100
CAH level 3,22-01-01 Education,All,2022/23,Male,130
CAH level 3,22-01-01 Education,All,2022/23,Unknown,5
CAH level 3,22-01-01 Education,All,2022/23,Total,1235
CAH level 3,22-01-02 Teacher training,First degree,2022/23,Female,625
CAH level 3,22-01-02 Teacher training,First degree,2022/23,Male,70
CAH level 3,22-01-02 Teacher training,First degree,2022/23,Unknown,0
CAH level 3,22-01-02 Teacher training,First degree,2022/23,Total,695
CAH level 3,22-01-02 Teacher training,Other undergraduate,2022/23,Female,30
CAH level 3,22-01-02 Teacher training,Other undergraduate,2022/23,Male,10
CAH level 3,22-01-02 Teacher training,Other undergraduate,2022/23,Unknown,0
CAH level 3,22-01-02 Teacher training,Other undergraduate,2022/23,Total,40
CAH level 3,22-01-02 Teacher training,All,2022/23,Female,650
CAH level 3,22-01-02 Teacher training,All,2022/23,Male,80
CAH level 3,22-01-02 Teacher training,All,2022/23,Unknown,0
CAH level 3,22-01-02 Teacher training,All,2022/23,Total,730
CAH level 3,"23-01-01 Combined, general or negotiated studies",First degree,2022/23,Female,275
CAH level 3,"23-01-01 Combined, general or negotiated studies",First degree,2022/23,Male,125
CAH level 3,"23-01-01 Combined, general or negotiated studies",First degree,2022/23,Unknown,5
