CAH level marker,CAH level subject,Level of study,Academic Year,Sex,Number
CAH level 3,02-04-02 Adult nursing,First degree,2022/23,Female,550
CAH level 3,02-04-02 Adult nursing,First degree,2022/23,Male,65
CAH level 3,02-04-02 Adult nursing,First degree,2022/23,Unknown,0
CAH level 3,02-04-02 Adult nursing,First degree,2022/23,Total,620
CAH level 3,02-04-02 Adult nursing,All,2022/23,Female,550
CAH level 3,02-04-02 Adult nursing,All,2022/23,Male,65
CAH level 3,02-04-02 Adult nursing,All,2022/23,Unknown,0
CAH level 3,02-04-02 Adult nursing,All,2022/23,Total,620
CAH level 3,02-04-04 Midwifery,First degree,2022/23,Female,415
CAH level 3,02-04-04 Midwifery,First degree,2022/23,Male,0
CAH level 3,02-04-04 Midwifery,First degree,2022/23,Unknown,0
CAH level 3,02-04-04 Midwifery,First degree,2022/23,Total,415
CAH level 3,02-04-04 Midwifery,All,2022/23,Female,415
CAH level 3,02-04-04 Midwifery,All,2022/23,Male,0
CAH level 3,02-04-04 Midwifery,All,2022/23,Unknown,0
CAH level 3,02-04-04 Midwifery,All,2022/23,Total,415
CAH level 3,02-04-05 Children's nursing,First degree,2022/23,Female,195
CAH level 3,02-04-05 Children's nursing,First degree,2022/23,Male,5
CAH level 3,02-04-05 Children's nursing,First degree,2022/23,Unknown,0
CAH level 3,02-04-05 Children's nursing,First degree,2022/23,Total,195
CAH level 3,02-04-05 Children's nursing,All,2022/23,Female,195
CAH level 3,02-04-05 Children's nursing,All,2022/23,Male,5
CAH level 3,02-04-05 Children's nursing,All,2022/23,Unknown,0
CAH level 3,02-04-05 Children's nursing,All,2022/23,Total,195
CAH level 3,02-04-07 Mental health nursing,First degree,2022/23,Female,155
CAH level 3,02-04-07 Mental health nursing,First degree,2022/23,Male,75
CAH level 3,02-04-07 Mental health nursing,First degree,2022/23,Unknown,0
CAH level 3,02-04-07 Mental health nursing,First degree,2022/23,Total,225
CAH level 3,02-04-07 Mental health nursing,All,2022/23,Female,155
CAH level 3,02-04-07 Mental health nursing,All,2022/23,Male,75
CAH level 3,02-04-07 Mental health nursing,All,2022/23,Unknown,0
CAH level 3,02-04-07 Mental health nursing,All,2022/23,Total,225
CAH level 3,02-04-08 Learning disabilities nursing,First degree,2022/23,Female,0
CAH level 3,02-04-08 Learning disabilities nursing,First degree,2022/23,Male,0
CAH level 3,02-04-08 Learning disabilities nursing,First degree,2022/23,Unknown,0
CAH level 3,02-04-08 Learning disabilities nursing,First degree,2022/23,Total,0
CAH level 3,02-04-08 Learning disabilities nursing,All,2022/23,Female,0
CAH level 3,02-04-08 Learning disabilities nursing,All,2022/23,Male,0
CAH level 3,02-04-08 Learning disabilities nursing,All,2022/23,Unknown,0
CAH level 3,02-04-08 Learning disabilities nursing,All,2022/23,Total,0
CAH level 3,02-04-09 Others in nursing,First degree,2022/23,Female,0
CAH level 3,02-04-09 Others in nursing,First degree,2022/23,Male,0
CAH level 3,02-04-09 Others in nursing,First degree,2022/23,Unknown,0
CAH level 3,02-04-09 Others in nursing,First degree,2022/23,Total,0
CAH level 3,02-04-09 Others in nursing,All,2022/23,Female,0
CAH level 3,02-04-09 Others in nursing,All,2022/23,Male,0
CAH level 3,02-04-09 Others in nursing,All,2022/23,Unknown,0
CAH level 3,02-04-09 Others in nursing,All,2022/23,Total,0
CAH level 3,02-05-01 Medical technology,First degree,2022/23,Female,65
CAH level 3,02-05-01 Medical technology,First degree,2022/23,Male,25
CAH level 3,02-05-01 Medical technology,First degree,2022/23,Unknown,0
CAH level 3,02-05-01 Medical technology,First degree,2022/23,Total,90
CAH level 3,02-05-01 Medical technology,All,2022/23,Female,65
CAH level 3,02-05-01 Medical technology,All,2022/23,Male,25
CAH level 3,02-05-01 Medical technology,All,2022/23,Unknown,0
CAH level 3,02-05-01 Medical technology,All,2022/23,Total,90
CAH level 3,02-05-02 Healthcare science (non-specific),First degree,2022/23,Female,40
CAH level 3,02-05-02 Healthcare science (non-specific),First degree,2022/23,Male,10
CAH level 3,02-05-02 Healthcare science (non-specific),First degree,2022/23,Unknown,0
CAH level 3,02-05-02 Healthcare science (non-specific),First degree,2022/23,Total,50
CAH level 3,02-05-02 Healthcare science (non-specific),All,2022/23,Female,40
CAH level 3,02-05-02 Healthcare science (non-specific),All,2022/23,Male,10
CAH level 3,02-05-02 Healthcare science (non-specific),All,2022/23,Unknown,0
CAH level 3,02-05-02 Healthcare science (non-specific),All,2022/23,Total,50
CAH level 3,02-05-03 Biomedical sciences (non-specific),First degree,2022/23,Female,6895
